input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[90|0|10]#S1{1,128|5E12,4E17}",62339.5142,62921.2688,62205.0481,62274.6322,65171.7035,61351.8083,62739.0393,65811.8341,62176.8790,36550.2984,203554.4340,rigid_backfill.py
"30D[90|0|10]#S2{1,128|5E12,4E17}",80236.6216,77706.2070,79770.3417,78426.9939,80189.5922,78426.9939,76587.4892,77886.9553,76900.5553,51017.7907,190196.5828,rigid_backfill.py
"30D[90|0|10]#S3{1,128|5E12,4E17}",54164.3995,52949.8167,54164.3872,56008.9925,52553.0391,55548.9675,55875.7309,52712.6743,54847.1398,32569.9503,200049.0355,rigid_backfill.py
"30D[90|0|10]#S4{1,128|5E12,4E17}",65775.8794,62269.7351,66992.5155,63528.6565,64762.4337,67706.3588,63372.4852,59782.3995,63876.0416,42844.1763,193567.8858,rigid_backfill.py
"30D[90|0|10]#S5{1,128|5E12,4E17}",55597.7198,55172.7181,54565.6177,55515.0143,58016.4736,55515.1718,53984.2002,54859.5057,55208.3658,34222.2878,171824.6266,rigid_backfill.py
"30D[90|0|10]#S6{1,128|5E12,4E17}",69330.0694,71354.5488,70645.8814,65090.1385,71864.7630,65083.2075,76111.1432,64829.1420,76303.0380,40886.4761,210628.6013,rigid_backfill.py
"30D[90|0|10]#S7{1,128|5E12,4E17}",94781.0713,96628.6787,94781.0713,98615.0773,94864.6151,98614.0011,98364.6848,93566.1701,89662.5239,52556.8088,229955.4616,rigid_backfill.py
"30D[90|0|10]#S8{1,128|5E12,4E17}",78570.9931,81327.5967,79317.3683,80488.2829,90182.0155,78802.9608,81547.9917,89375.0537,81503.4416,48464.0067,212815.1173,rigid_backfill.py
"30D[90|0|10]#S9{1,128|5E12,4E17}",93161.4107,92302.4845,93396.0769,88675.9966,92065.5325,89779.5100,91554.8731,91937.3786,91187.4360,53225.1172,229141.8294,rigid_backfill.py
"30D[80|0|20]#S0{1,128|5E12,4E17}",36975.4747,35534.1824,36905.6546,41103.2542,37045.6391,36472.2798,35904.7469,34796.5063,35288.3606,43762.6843,209519.4583,pref_common_pool.py
"30D[80|0|20]#S1{1,128|5E12,4E17}",32016.1117,34490.7123,35533.1241,33548.8481,33042.9491,33548.8480,32850.5828,33152.8666,31735.5293,36550.2984,203554.4340,pref_steal_agreement.py
"30D[80|0|20]#S2{1,128|5E12,4E17}",48695.0218,47446.3531,48654.1416,49786.5071,49023.9208,49979.6816,51719.5401,48591.2323,51575.5321,51017.7907,190196.5828,average_common_pool.py
"30D[80|0|20]#S3{1,128|5E12,4E17}",27015.9895,27209.5126,27448.9378,25866.5939,27670.5502,26178.1474,25412.9136,26690.0146,27032.7962,32569.9503,200049.0355,pref_agreement.py
