input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[60|0|40]#S3{1,128|5E12,4E17}","1604, 17.8, 0.7","1625, 17.7, 0.7","1605, 17.9, 0.7","1550, 18.1, 0.7","1586, 18.5, 0.7","1547, 18.0, 0.7","1628, 17.3, 0.7","1651, 17.2, 0.7","1607, 17.6, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S4{1,128|5E12,4E17}","1506, 17.6, 0.7","1510, 17.6, 0.7","1505, 17.6, 0.7","1497, 18.4, 0.7","1495, 18.1, 0.7","1508, 18.0, 0.7","1572, 17.0, 0.7","1592, 16.9, 0.7","1549, 17.3, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S5{1,128|5E12,4E17}","1444, 17.7, 0.6","1478, 17.5, 0.6","1458, 17.7, 0.6","1408, 18.1, 0.6","1412, 18.2, 0.6","1415, 17.9, 0.6","1503, 17.5, 0.7","1517, 17.5, 0.7","1510, 17.6, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S6{1,128|5E12,4E17}","1569, 17.5, 0.7","1617, 17.5, 0.7","1573, 17.4, 0.7","1551, 17.9, 0.7","1570, 17.4, 0.7","1509, 17.6, 0.7","1606, 17.0, 0.7","1664, 16.9, 0.7","1603, 17.1, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S7{1,128|5E12,4E17}","1659, 17.7, 0.7","1671, 17.3, 0.7","1659, 17.7, 0.7","1617, 17.7, 0.7","1664, 17.6, 0.7","1637, 17.7, 0.7","1748, 16.8, 0.8","1775, 16.5, 0.8","1706, 17.3, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S8{1,128|5E12,4E17}","1632, 17.6, 0.7","1672, 18.1, 0.7","1649, 17.8, 0.7","1601, 18.2, 0.7","1661, 18.5, 0.7","1585, 18.2, 0.7","1699, 17.2, 0.7","1711, 17.3, 0.7","1706, 17.5, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[60|0|40]#S9{1,128|5E12,4E17}","1594, 18.6, 0.7","1610, 18.5, 0.7","1586, 18.6, 0.7","1570, 18.5, 0.7","1569, 18.9, 0.7","1569, 18.5, 0.7","1645, 17.9, 0.7","1623, 17.8, 0.7","1674, 17.7, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S0{1,128|5E12,4E17}","1750, 17.0, 0.8","1764, 17.0, 0.8","1750, 17.0, 0.8","1698, 17.3, 0.7","1712, 17.0, 0.7","1696, 17.3, 0.7","1782, 16.6, 0.8","1811, 16.4, 0.8","1786, 16.7, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S1{1,128|5E12,4E17}","1571, 17.4, 0.7","1579, 17.6, 0.7","1575, 17.4, 0.7","1562, 17.9, 0.7","1571, 17.7, 0.7","1562, 17.9, 0.7","1615, 16.4, 0.7","1638, 16.8, 0.7","1615, 16.5, 0.7","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[50|0|50]#S2{1,128|5E12,4E17}","1740, 17.7, 0.8","1717, 17.5, 0.7","1701, 17.5, 0.7","1681, 17.9, 0.7","1724, 17.9, 0.8","1670, 17.9, 0.7","1724, 17.4, 0.8","1803, 17.2, 0.8","1746, 17.2, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
