input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py,best_scheduler
"30D[30|0|70]#S6{1,128|5E12,4E17}",2615730,2615730,2615730,2615890,2615790,2615890,2616070,2615170,2616070,2673580,3015030,pref_common_pool.py
"30D[30|0|70]#S7{1,128|5E12,4E17}",2606670,2607220,2606670,2606780,2608340,2606780,2605520,2606080,2605520,2656560,3010590,"pref_agreement.py, pref_steal_agreement.py"
"30D[30|0|70]#S8{1,128|5E12,4E17}",2619390,2621030,2619260,2619430,2619180,2619430,2618970,2619200,2618970,2673360,2995050,"pref_agreement.py, pref_steal_agreement.py"
"30D[30|0|70]#S9{1,128|5E12,4E17}",2594710,2595420,2595420,2595360,2594720,2594720,2594720,2594720,2594720,2679940,3035470,average_agreement.py
"30D[20|0|80]#S0{1,128|5E12,4E17}",2606900,2609160,2606980,2606260,2607400,2606110,2604700,2605310,2605170,2673350,3001750,pref_agreement.py
"30D[20|0|80]#S1{1,128|5E12,4E17}",2612950,2611410,2612000,2611470,2611950,2611470,2608820,2608470,2608550,2664810,2990080,pref_common_pool.py
"30D[20|0|80]#S2{1,128|5E12,4E17}",2624580,2626280,2624510,2625490,2625230,2625420,2623110,2624150,2623250,2712900,3015110,pref_agreement.py
"30D[20|0|80]#S3{1,128|5E12,4E17}",2626870,2628380,2626870,2626300,2628340,2627670,2623860,2623000,2623860,2682040,3015860,pref_common_pool.py
"30D[20|0|80]#S4{1,128|5E12,4E17}",2611720,2613440,2611720,2611520,2612000,2611520,2610360,2611010,2610360,2688060,3003280,"pref_agreement.py, pref_steal_agreement.py"
"30D[20|0|80]#S5{1,128|5E12,4E17}",2649120,2645440,2649120,2641490,2644520,2641490,2640000,2643260,2639450,2710050,2997530,pref_steal_agreement.py
"30D[20|0|80]#S6{1,128|5E12,4E17}",2614300,2614530,2614150,2614920,2613980,2614920,2614040,2614040,2614040,2673580,3015030,min_common_pool.py
"30D[20|0|80]#S7{1,128|5E12,4E17}",2604030,2604750,2603850,2604430,2604580,2604430,2602890,2602580,2602890,2656560,3010590,pref_common_pool.py
