input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[40|0|60]#S0{1,128|5E12,4E17}","1916, 23.7, 0.8","1937, 23.3, 0.8","1918, 23.9, 0.8","1896, 23.9, 0.8","1912, 23.8, 0.8","1894, 24.0, 0.8","2310, 17.6, 1.0","2406, 17.5, 1.0","2330, 17.6, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S1{1,128|5E12,4E17}","1816, 24.4, 0.8","1837, 24.4, 0.8","1814, 24.5, 0.8","1780, 25.0, 0.8","1811, 24.7, 0.8","1785, 24.9, 0.8","2198, 18.1, 1.0","2232, 18.0, 1.0","2211, 18.1, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S2{1,128|5E12,4E17}","1859, 23.7, 0.8","1885, 23.5, 0.8","1850, 23.7, 0.8","1844, 24.1, 0.8","1856, 24.0, 0.8","1844, 24.0, 0.8","2264, 18.0, 1.0","2333, 17.8, 1.0","2262, 18.1, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S3{1,128|5E12,4E17}","1922, 24.7, 0.8","1951, 24.2, 0.8","1928, 24.6, 0.8","1904, 24.5, 0.8","1918, 25.1, 0.8","1906, 24.5, 0.8","2324, 17.9, 1.0","2371, 17.7, 1.0","2333, 17.9, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S4{1,128|5E12,4E17}","1814, 24.7, 0.8","1835, 24.3, 0.8","1815, 24.7, 0.8","1820, 24.8, 0.8","1848, 24.8, 0.8","1806, 25.1, 0.8","2301, 18.0, 1.0","2306, 18.0, 1.0","2269, 18.1, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S5{1,128|5E12,4E17}","1871, 26.0, 0.8","1893, 26.2, 0.8","1871, 26.0, 0.8","1854, 26.6, 0.8","1872, 26.2, 0.8","1850, 26.2, 0.8","2279, 18.8, 1.0","2277, 18.8, 1.0","2280, 18.9, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S6{1,128|5E12,4E17}","1847, 23.7, 0.8","1897, 23.9, 0.8","1872, 24.0, 0.8","1815, 24.6, 0.8","1869, 24.2, 0.8","1814, 24.5, 0.8","2281, 17.9, 1.0","2323, 17.8, 1.0","2312, 17.8, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S7{1,128|5E12,4E17}","1866, 23.7, 0.8","1893, 23.2, 0.8","1877, 23.6, 0.8","1870, 23.5, 0.8","1920, 23.6, 0.8","1853, 23.4, 0.8","2288, 17.5, 1.0","2306, 17.6, 1.0","2233, 17.8, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S8{1,128|5E12,4E17}","1849, 24.3, 0.8","1887, 23.9, 0.8","1867, 24.2, 0.8","1830, 24.5, 0.8","1861, 24.4, 0.8","1830, 24.5, 0.8","2303, 18.0, 1.0","2299, 17.6, 1.0","2271, 17.8, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[40|0|60]#S9{1,128|5E12,4E17}","1883, 23.1, 0.8","1899, 23.7, 0.8","1844, 23.7, 0.8","1833, 23.4, 0.8","1887, 23.6, 0.8","1839, 23.2, 0.8","2235, 17.7, 1.0","2322, 17.8, 1.0","2271, 17.5, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
